original,cleaned
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,aft i finish my lunch then i go str down lor ard NUM smth lor u finish ur lunch already
Ffffffffff. Alright no way I can meet up with you sooner?,ffffffffff alright no way i can meet up with you sooner
Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,just forced myself eat slice i m really not hungry tho this sucks mark getting worried he knows i m sick when i turn down pizza lol
Lol your always so convincing.,lol your always so convincing
Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,did you catch bus you frying egg did you make tea you eating your mom s left over dinner do you feel my love
"I'm back &amp; we're packing the car now, I'll let you know if there's room",i m back amp we re packing car now i ll let you know there s room
Ahhh. Work. I vaguely remember that! What does it feel like? Lol,ahhh work i vaguely remember that what does it feel like lol
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",wait that s still not all that clear were you not sure about me being sarcastic that that s why x doesn t want live with us
Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,yeah he got at NUM was v apologetic n had fallen out she was actin like spoilt child he got caught up that till NUM we won t go there not doing too badly cheers you
K tell me anything about you.,k tell me anything about you
For fear of fainting with the of all that housework you just did? Quick have a cuppa,fear fainting with all that housework you just did quick have cuppa
Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged,thanks your subscription ringtone uk your mobile will be charged £ NUM month please confirm by replying yes no you reply no you will not be charged
Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am,yup ok i go home look at timings then i msg ü again xuhui going learn 2nd may too her lesson at 8am
"Oops, I'll let you know when my roommate's done",oops i ll let you know when my roommate s done
I see the letter B on my car,i see letter b my car
Anything lor... U decide...,anything lor u decide
Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,hello how s you how did saturday go i was just texting see you d decided do anything tomo not that i m trying invite myself anything
Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,pls go ahead with watts i just wanted be sure do have great weekend abiola
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy",did i forget tell you i want you i need you i crave you most all i love you my sweet arabian steed mmmmmm yummy
07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,PHONE rodger burns msg we tried call you re your reply our sms free nokia mobile free camcorder please call now PHONE delivery tomorrow
WHO ARE YOU SEEING?,who you seeing
Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,great i hope you like your man well endowed i am lt gt inches
No calls..messages..missed calls,no calls messages missed calls
Didn't you get hep b immunisation in nigeria.,didn t you get hep b immunisation nigeria
"Fair enough, anything going on?",fair enough anything going
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit",yeah hopefully tyler can t do it i could maybe ask around bit
U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.,u don t know how stubborn i am i didn t even want go hospital i kept telling mark i m not weak sucker hospitals weak suckers
What you thinked about me. First time you saw me in class.,what you thinked about me first time you saw me class
"A gram usually runs like  &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt;",gram usually runs like lt gt half eighth smarter though gets you almost whole second gram lt gt
K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,k fyi x has ride early tomorrow morning he s crashing at our place tonight
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing best i could you always seemed so happy about cave i m sorry i didn t don t have more give i m sorry i offered i m sorry your room was so embarassing
SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt;,do you know what mallika sherawat did yesterday find out now lt url gt
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",congrats NUM year special cinema pass NUM yours call PHONE now c suprman v matrix3 starwars3 etc all NUM free bx420 ip4 5we 150pm dont miss out
"Sorry, I'll call later in meeting.",sorry i ll call later meeting
Tell where you reached,tell where you reached
Yes..gauti and sehwag out of odi series.,yes gauti sehwag out odi series
Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.,your gonna have pick up NUM burger yourself your way home i can t even move pain killing me
Ha ha ha good joke. Girls are situation seekers.,ha ha ha good joke girls situation seekers
Its a part of checking IQ,its part checking iq
"Sorry my roommates took forever, it ok if I come by now?",sorry my roommates took forever it ok i come by now
Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589",as valued customer i am pleased advise you that following recent review your mob no you awarded with £ NUM bonus prize call PHONE
"Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...",today song dedicated day which song will u dedicate me send this all ur valuable frnds first rply me
"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or £1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ",urgent ur awarded complimentary trip eurodisinc trav aco entry41 £ NUM claim txt dis PHONE NUM £ NUM NUM morefrmmob shracomorsglsuplt NUM ls1 3aj
"Did you hear about the new ""Divorce Barbie""? It comes with all of Ken's stuff!",did you hear about new divorce barbie it comes with all ken s stuff
I plane to give on this month end.,i plane give this month end
Wah lucky man... Then can save money... Hee...,wah lucky man then can save money hee
Finished class where are you.,finished class where you
HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,hi babe im at home now wanna do something xx
K..k:)where are you?how did you performed?,k k where you how did you performed
U can call me now...,u can call me now
I am waiting machan. Call me once you free.,i am waiting machan call me once you free
Thats cool. i am a gentleman and will treat you with dignity and respect.,thats cool i am gentleman will treat you with dignity respect
I like you peoples very much:) but am very shy pa.,i like you peoples very much am very shy pa
Does not operate after  &lt;#&gt;  or what,does not operate after lt gt what
Its not the same here. Still looking for a job. How much do Ta's earn there.,its not same here still looking job how much do ta s earn there
"Sorry, I'll call later",sorry i ll call later
K. Did you call me just now ah?,k did you call me just now ah
Ok i am on the way to home hi hi,ok i am way home hi hi
You will be in the place of that man,you will be place that man
Yup next stop.,yup next stop
"I call you later, don't have network. If urgnt, sms me.",i call you later don t have network urgnt sms me
For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,real when u getting yo i only need NUM more tickets one more jacket i m done i already used all my multis
Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,yes i started send requests make it pain came back so i m back bed double coins at factory too i gotta cash all my nitros
I'm really not up to it still tonight babe,i m really not up it still tonight babe
"Ela kano.,il download, come wen ur free..",ela kano il download come wen ur free
Yeah do! Don‘t stand to close tho- you‘ll catch something!,yeah do don‘t stand close tho you‘ll catch something
Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,sorry be pain it ok we meet another night i spent late afternoon casualty that means i haven t done any y stuff42moro that includes all my time sheets that sorry
Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,smile pleasure smile pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves see u smiling
Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call our customer service representative PHONE between 10am 9pm as you have won guaranteed £ NUM cash £ NUM prize
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,havent planning buy later i check already lido only got NUM show e afternoon u finish work already
"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",your free ringtone waiting be collected simply text password mix NUM verify get usher britney fml po box NUM mk17 92h 450ppw NUM
Watching telugu movie..wat abt u?,watching telugu movie wat abt u
i see. When we finish we have loads of loans to pay,i see when we finish we have loads loans pay
"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?""",hi wk been ok hols now yes bit run forgot that i have hairdressers appointment at four so need get home n shower beforehand does that cause prob u
I see a cup of coffee animation,i see cup coffee animation
Please don't text me anymore. I have nothing else to say.,please don t text me anymore i have nothing else say
Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx
I'm still looking for a car to buy. And have not gone 4the driving test yet.,i m still looking car buy have not gone 4the driving test yet
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune all callers press NUM copy your friends callertune
"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.",wow you re right i didn t mean do that i guess once i gave up boston men changed my search location nyc something changed cuz my signin page it still says boston
Umma my life and vava umma love you lot dear,umma my life vava umma love you lot dear
Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,thanks lot your wishes my birthday thanks you making my birthday truly memorable
"Aight, I'll hit you up when I get some cash",aight i ll hit you up when i get some cash
How would my ip address test that considering my computer isn't a minecraft server,how would my ip address test that considering my computer isn t minecraft server
I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,i know grumpy old people my mom was like you better not be lying then again i am always one play jokes
Dont worry. I guess he's busy.,dont worry i guess he s busy
What is the plural of the noun research?,what plural noun research
Going for dinner.msg you after.,going dinner msg you after
I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,i m ok wif it cos i like NUM try new things i scared u dun like mah cos u said not too loud
GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,gent we trying contact you last weekends draw shows that you won £ NUM prize guaranteed call PHONE claim code k52 valid 12hrs only 150ppm
"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?",wa ur openin sentence very formal anyway i m fine too juz tt i m eatin too much n puttin weight haha so anythin special happened
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",as i entered my cabin my pa said happy b day boss i felt special she askd me NUM lunch after lunch she invited me her apartment we went there
You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+),you winner u have been specially selected NUM receive £ NUM NUM holiday flights inc speak live operator NUM claim 0871277810910p min NUM
Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed!,goodo yes we must speak friday egg potato ratio tortilla needed
Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,hmm my uncle just informed me that he s paying school directly so pls buy food
PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires,private your NUM account statement PHONE shows NUM unredeemed bonus points claim call PHONE identifier code NUM expires
"URGENT! Your Mobile No. was awarded £2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM",urgent your mobile no was awarded £ NUM bonus caller prize NUM NUM NUM this our final try contact u call from landline PHONE box42wr29c 150ppm
here is my new address -apples&pairs&all that malarky,here my new address apples pairs all that malarky
Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app,todays voda numbers ending NUM selected receive NUM award you have match please call PHONE quoting claim code NUM standard rates app
I am going to sao mu today. Will be done only at 12,i am going sao mu today will be done only at NUM
Ü predict wat time ü'll finish buying?,ü predict wat time ü ll finish buying
"Good stuff, will do.",good stuff will do
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",just so that you know yetunde hasn t sent money yet i just sent her text not bother sending so its over you dont have involve yourself anything i shouldn t have imposed anything you first place so that i apologise
Are you there in room.,you there room
HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,hey girl how r u hope u r well me del r bak again long time no c give me call sum time from lucyxx
K..k:)how much does it cost?,k k how much does it cost
I'm home.,i m home
"Dear, will call Tmorrow.pls accomodate.",dear will call tmorrow pls accomodate
First answer my question.,first answer my question
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,sunshine quiz wkly q win top sony dvd player u know which country algarve txt ansr NUM £ NUM NUM sp tyrone
Want 2 get laid tonight? Want real Dogging locations sent direct 2 ur mob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p,want NUM get laid tonight want real dogging locations sent direct NUM ur mob join uk s largest dogging network bt txting gravel NUM nt ec2a 31p msg 150p
I only haf msn. It's yijue@hotmail.com,i only haf msn it s EMAIL
He is there. You call and meet him,he there you call meet him
No no. I will check all rooms befor activities,no no i will check all rooms befor activities
You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,you ll not rcv any more msgs from chat svc free hardcore services text go NUM u get nothing u must age verify with yr network try again
Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...,got c i lazy type i forgot ü lect i saw pouch like not v nice
"K, text me when you're on the way",k text me when you re way
"Sir, Waiting for your mail.",sir waiting your mail
"A swt thought: ""Nver get tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in their Hearts.. Gud ni8",swt thought nver get tired doing little things NUM lovable persons coz somtimes those little things occupy d biggest part their hearts gud ni8
I know you are. Can you pls open the back?,i know you can you pls open back
Yes see ya not on the dot,yes see ya not dot
Whats the staff name who is taking class for us?,whats staff name who taking class us
"FreeMsg Why haven't you replied to my text? I'm Randy, sexy, female and live local. Luv to hear from u. Netcollex Ltd 08700621170150p per msg reply Stop to end",freemsg why haven t you replied my text i m randy sexy female live local luv hear from u netcollex ltd 08700621170150p per msg reply stop end
Ummma.will call after check in.our life will begin from qatar so pls pray very hard.,ummma will call after check our life will begin from qatar so pls pray very hard
K..i deleted my contact that why?,k i deleted my contact that why
Sindu got job in birla soft ..,sindu got job birla soft
The wine is flowing and i'm i have nevering..,wine flowing i m i have nevering
Yup i thk cine is better cos no need 2 go down 2 plaza mah.,yup i thk cine better cos no need NUM go down NUM plaza mah
Ok... Ur typical reply...,ok ur typical reply
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune all callers press NUM copy your friends callertune
"You are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, you are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy for me, lots of tv shows i.ll see. But i guess like all things you just must exist, like rain, hail and mist, and when my time here is done, you and i become one.",you everywhere dirt floor windows even my shirt sometimes when i open my mouth you all that comes flowing out i dream my world without you then half my chores out too time joy me lots tv shows i ll see i guess like all things you just must exist like rain hail mist when my time here done you i become one
Aaooooright are you at work?,aaooooright you at work
I'm leaving my house now...,i m leaving my house now
"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",hello my love what you doing did you get that interview today you you happy you being good boy do you think me you missing me
Customer service annoncement. You have a New Years delivery waiting for you. Please call 07046744435 now to arrange delivery,customer service annoncement you have new years delivery waiting you please call PHONE now arrange delivery
You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,you winner u have been specially selected NUM receive £ NUM cash NUM holiday flights inc speak live operator NUM claim PHONE
Keep yourself safe for me because I need you and I miss you already and I envy everyone that see's you in real life,keep yourself safe me because i need you i miss you already i envy everyone that see s you real life
New car and house for my parents.:)i have only new job in hand:),new car house my parents i have only new job hand
I'm so in love with you. I'm excited each day i spend with you. You make me so happy.,i m so love with you i m excited each day i spend with you you make me so happy
-PLS STOP bootydelious (32/F) is inviting you to be her friend. Reply YES-434 or NO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468,pls stop bootydelious NUM f inviting you be her friend reply yes NUM no NUM see her URL stop send stop frnd NUM
"BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu",bangbabes ur order way u should receive service msg NUM download ur content u do not goto wap bangb tv ur mobile internet service menu
I place all ur points on e cultures module already.,i place all ur points e cultures module already
URGENT! We are trying to contact you. Last weekends draw shows that you have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only,urgent we trying contact you last weekends draw shows that you have won £ NUM prize guaranteed call PHONE claim code s89 valid 12hrs only
"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",hi frnd which best way avoid missunderstding wit our beloved one s
Great escape. I fancy the bridge but needs her lager. See you tomo,great escape i fancy bridge needs her lager see you tomo
Yes :)it completely in out of form:)clark also utter waste.,yes it completely out form clark also utter waste
"Sir, I need AXIS BANK account no and bank address.",sir i need axis bank account no bank address
"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...",hmmm thk sure got time hop ard ya can go NUM free abt muz call u discuss liao
What time you coming down later?,what time you coming down later
"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m...",bloody hell cant believe you forgot my surname mr ill give u clue its spanish begins with m
"Well, i'm gonna finish my bath now. Have a good...fine night.",well i m gonna finish my bath now have good fine night
Let me know when you've got the money so carlos can make the call,let me know when you ve got money so carlos can make call
U still going to the mall?,u still going mall
"Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth",turns out my friends staying whole show won t be back til lt gt so feel free go ahead smoke that lt gt worth
Text her. If she doesnt reply let me know so i can have her log in,text her she doesnt reply let me know so i can have her log
Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.,hi you just spoke maneesha v we d like know you were satisfied with experience reply toll free with yes no
You lifted my hopes with the offer of money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend,you lifted my hopes with offer money i am need especially when end month approaches it hurts my studying anyways have gr8 weekend
Lol no. U can trust me.,lol no u can trust me
ok. I am a gentleman and will treat you with dignity and respect.,ok i am gentleman will treat you with dignity respect
"He will, you guys close?",he will you guys close
Going on nothing great.bye,going nothing great bye
Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,hello handsome you finding that job not being lazy working towards getting back that net mummy where s my boytoy now does he miss me
"Haha awesome, be there in a minute",haha awesome be there minute
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,please call our customer service representative freephone PHONE between 9am 11pm as you have won guaranteed £ NUM cash £ NUM prize
Have you got Xmas radio times. If not i will get it now,have you got xmas radio times not i will get it now
I jus reached home. I go bathe first. But my sis using net tell u when she finishes k...,i jus reached home i go bathe first my sis using net tell u when she finishes k
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,you unique enough find out from 30th august URL
I'm sorry. I've joined the league of people that dont keep in touch. You mean a great deal to me. You have been a friend at all times even at great personal cost. Do have a great week.|,i m sorry i ve joined league people that dont keep touch you mean great deal me you have been friend at all times even at great personal cost do have great week |
Hi :)finally i completed the course:),hi finally i completed course
It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.,it will stop itself i however suggest she stays with someone that will be able give ors every stool
How are you doing? Hope you've settled in for the new school year. Just wishin you a gr8 day,how you doing hope you ve settled new school year just wishin you gr8 day
Gud mrng dear hav a nice day,gud mrng dear hav nice day
Did u got that persons story,did u got that persons story
is your hamster dead? Hey so tmr i meet you at 1pm orchard mrt?,your hamster dead hey so tmr i meet you at 1pm orchard mrt
Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,hi its kate how your evening i hope i can see you tomorrow bit i have bloody babyjontet txt back u can xxx
"Found it, ENC  &lt;#&gt; , where you at?",found it enc lt gt where you at
I sent you  &lt;#&gt;  bucks,i sent you lt gt bucks
Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx,hello darlin ive finished college now so txt me when u finish u can love kate xxx
Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,your account has been refilled successfully by inr lt decimal gt your keralacircle prepaid account balance rs lt decimal gt your transaction id kr lt gt
Goodmorning sleeping ga.,goodmorning sleeping ga
U call me alter at 11 ok.,u call me alter at NUM ok
Ü say until like dat i dun buy ericsson oso cannot oredi lar...,ü say until like dat i dun buy ericsson oso cannot oredi lar
"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",as i entered my cabin my pa said happy b day boss i felt special she askd me NUM lunch after lunch she invited me her apartment we went there
"Aight yo, dats straight dogg",aight yo dats straight dogg
You please give us connection today itself before  &lt;DECIMAL&gt;  or refund the bill,you please give us connection today itself before lt decimal gt refund bill
Both :) i shoot big loads so get ready!,both i shoot big loads so get ready
"What's up bruv, hope you had a great break. Do have a rewarding semester.",what s up bruv hope you had great break do have rewarding semester
Home so we can always chat,home so we can always chat
K:)k:)good:)study well.,k k good study well
Yup... How ü noe leh...,yup how ü noe leh
Sounds great! Are you home now?,sounds great you home now
Finally the match heading towards draw as your prediction.,finally match heading towards draw as your prediction
Tired. I haven't slept well the past few nights.,tired i haven t slept well past few nights
Easy ah?sen got selected means its good..,easy ah sen got selected means its good
I have to take exam with march 3,i have take exam with march NUM
Yeah you should. I think you can use your gt atm now to register. Not sure but if there's anyway i can help let me know. But when you do be sure you are ready.,yeah you should i think you can use your gt atm now register not sure there s anyway i can help let me know when you do be sure you ready
Ok no prob. Take ur time.,ok no prob take ur time
There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,there os called ubandu which will run without installing hard disk you can use that os copy important files system give it repair shop
"Sorry, I'll call later",sorry i ll call later
U say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.,u say leh course nothing happen lar not say v romantic jus bit only lor i thk e nite scenery not so nice leh
"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18",NUM new mobiles from NUM must go txt nokia no NUM collect yours today from only £ NUM URL 2optout PHONE 50gbp mtmsg18
Would really appreciate if you call me. Just need someone to talk to.,would really appreciate you call me just need someone talk
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",will u meet ur dream partner soon ur career off NUM flyng start NUM find out free txt horo followed by ur star sign e g horo aries
Hey company elama po mudyadhu.,hey company elama po mudyadhu
