label,text
ham,u don t know how stubborn i am i didn t even want go hospital i kept telling mark i m not weak sucker hospitals weak suckers
ham,what you thinked about me first time you saw me class
ham,gram usually runs like lt gt half eighth smarter though gets you almost whole second gram lt gt
ham,k fyi x has ride early tomorrow morning he s crashing at our place tonight
ham,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing best i could you always seemed so happy about cave i m sorry i didn t don t have more give i m sorry i offered i m sorry your room was so embarassing
spam,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
ham,do you know what mallika sherawat did yesterday find out now lt url gt
spam,congrats NUM year special cinema pass NUM yours call PHONE now c suprman v matrix3 starwars3 etc all NUM free bx420 ip4 5we 150pm dont miss out
ham,sorry i ll call later meeting
ham,tell where you reached
ham,yes gauti sehwag out odi series
ham,your gonna have pick up NUM burger yourself your way home i can t even move pain killing me
ham,ha ha ha good joke girls situation seekers
ham,its part checking iq
ham,sorry my roommates took forever it ok i come by now
ham,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice
spam,as valued customer i am pleased advise you that following recent review your mob no you awarded with £ NUM bonus prize call PHONE
ham,today song dedicated day which song will u dedicate me send this all ur valuable frnds first rply me
spam,urgent ur awarded complimentary trip eurodisinc trav aco entry41 £ NUM claim txt dis PHONE NUM £ NUM NUM morefrmmob shracomorsglsuplt NUM ls1 3aj
spam,did you hear about new divorce barbie it comes with all ken s stuff
ham,i plane give this month end
ham,wah lucky man then can save money hee
ham,finished class where you
ham,hi babe im at home now wanna do something xx
ham,k k where you how did you performed
ham,u can call me now
ham,i am waiting machan call me once you free
ham,thats cool i am gentleman will treat you with dignity respect
ham,i like you peoples very much am very shy pa
ham,does not operate after lt gt what
ham,its not same here still looking job how much do ta s earn there
ham,sorry i ll call later
ham,k did you call me just now ah
ham,ok i am way home hi hi
ham,you will be place that man
ham,yup next stop
ham,i call you later don t have network urgnt sms me
ham,real when u getting yo i only need NUM more tickets one more jacket i m done i already used all my multis
ham,yes i started send requests make it pain came back so i m back bed double coins at factory too i gotta cash all my nitros
ham,i m really not up it still tonight babe
ham,ela kano il download come wen ur free
ham,yeah do don‘t stand close tho you‘ll catch something
ham,sorry be pain it ok we meet another night i spent late afternoon casualty that means i haven t done any y stuff42moro that includes all my time sheets that sorry
ham,smile pleasure smile pain smile when trouble pours like rain smile when sum1 hurts u smile becoz someone still loves see u smiling
spam,please call our customer service representative PHONE between 10am 9pm as you have won guaranteed £ NUM cash £ NUM prize
ham,havent planning buy later i check already lido only got NUM show e afternoon u finish work already
spam,your free ringtone waiting be collected simply text password mix NUM verify get usher britney fml po box NUM mk17 92h 450ppw NUM
ham,watching telugu movie wat abt u
ham,i see when we finish we have loads loans pay
ham,hi wk been ok hols now yes bit run forgot that i have hairdressers appointment at four so need get home n shower beforehand does that cause prob u
ham,i see cup coffee animation
ham,please don t text me anymore i have nothing else say
ham,okay name ur price as long as its legal wen can i pick them up y u ave x ams xx
ham,i m still looking car buy have not gone 4the driving test yet
ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune all callers press NUM copy your friends callertune
ham,wow you re right i didn t mean do that i guess once i gave up boston men changed my search location nyc something changed cuz my signin page it still says boston
ham,umma my life vava umma love you lot dear
ham,thanks lot your wishes my birthday thanks you making my birthday truly memorable
ham,aight i ll hit you up when i get some cash
ham,how would my ip address test that considering my computer isn t minecraft server
ham,i know grumpy old people my mom was like you better not be lying then again i am always one play jokes
ham,dont worry i guess he s busy
ham,what plural noun research
ham,going dinner msg you after
ham,i m ok wif it cos i like NUM try new things i scared u dun like mah cos u said not too loud
spam,gent we trying contact you last weekends draw shows that you won £ NUM prize guaranteed call PHONE claim code k52 valid 12hrs only 150ppm
ham,wa ur openin sentence very formal anyway i m fine too juz tt i m eatin too much n puttin weight haha so anythin special happened
ham,as i entered my cabin my pa said happy b day boss i felt special she askd me NUM lunch after lunch she invited me her apartment we went there
spam,you winner u have been specially selected NUM receive £ NUM NUM holiday flights inc speak live operator NUM claim 0871277810910p min NUM
ham,goodo yes we must speak friday egg potato ratio tortilla needed
ham,hmm my uncle just informed me that he s paying school directly so pls buy food
spam,private your NUM account statement PHONE shows NUM unredeemed bonus points claim call PHONE identifier code NUM expires
spam,urgent your mobile no was awarded £ NUM bonus caller prize NUM NUM NUM this our final try contact u call from landline PHONE box42wr29c 150ppm
ham,here my new address apples pairs all that malarky
spam,todays voda numbers ending NUM selected receive NUM award you have match please call PHONE quoting claim code NUM standard rates app
ham,i am going sao mu today will be done only at NUM
ham,ü predict wat time ü ll finish buying
ham,good stuff will do
ham,just so that you know yetunde hasn t sent money yet i just sent her text not bother sending so its over you dont have involve yourself anything i shouldn t have imposed anything you first place so that i apologise
ham,you there room
ham,hey girl how r u hope u r well me del r bak again long time no c give me call sum time from lucyxx
ham,k k how much does it cost
ham,i m home
ham,dear will call tmorrow pls accomodate
ham,first answer my question
spam,sunshine quiz wkly q win top sony dvd player u know which country algarve txt ansr NUM £ NUM NUM sp tyrone
spam,want NUM get laid tonight want real dogging locations sent direct NUM ur mob join uk s largest dogging network bt txting gravel NUM nt ec2a 31p msg 150p
ham,i only haf msn it s EMAIL
ham,he there you call meet him
ham,no no i will check all rooms befor activities
spam,you ll not rcv any more msgs from chat svc free hardcore services text go NUM u get nothing u must age verify with yr network try again
ham,got c i lazy type i forgot ü lect i saw pouch like not v nice
ham,k text me when you re way
ham,sir waiting your mail
ham,swt thought nver get tired doing little things NUM lovable persons coz somtimes those little things occupy d biggest part their hearts gud ni8
ham,i know you can you pls open back
ham,yes see ya not dot
ham,whats staff name who taking class us
spam,freemsg why haven t you replied my text i m randy sexy female live local luv hear from u netcollex ltd 08700621170150p per msg reply stop end
ham,ummma will call after check our life will begin from qatar so pls pray very hard
ham,k i deleted my contact that why
ham,sindu got job birla soft
ham,wine flowing i m i have nevering
ham,yup i thk cine better cos no need NUM go down NUM plaza mah
ham,ok ur typical reply
ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune all callers press NUM copy your friends callertune
ham,you everywhere dirt floor windows even my shirt sometimes when i open my mouth you all that comes flowing out i dream my world without you then half my chores out too time joy me lots tv shows i ll see i guess like all things you just must exist like rain hail mist when my time here done you i become one
ham,aaooooright you at work
ham,i m leaving my house now
ham,hello my love what you doing did you get that interview today you you happy you being good boy do you think me you missing me
spam,customer service annoncement you have new years delivery waiting you please call PHONE now arrange delivery
spam,you winner u have been specially selected NUM receive £ NUM cash NUM holiday flights inc speak live operator NUM claim PHONE
ham,keep yourself safe me because i need you i miss you already i envy everyone that see s you real life
ham,new car house my parents i have only new job hand
ham,i m so love with you i m excited each day i spend with you you make me so happy
spam,pls stop bootydelious NUM f inviting you be her friend reply yes NUM no NUM see her URL stop send stop frnd NUM
spam,bangbabes ur order way u should receive service msg NUM download ur content u do not goto wap bangb tv ur mobile internet service menu
ham,i place all ur points e cultures module already
spam,urgent we trying contact you last weekends draw shows that you have won £ NUM prize guaranteed call PHONE claim code s89 valid 12hrs only
ham,hi frnd which best way avoid missunderstding wit our beloved one s
ham,great escape i fancy bridge needs her lager see you tomo
ham,yes it completely out form clark also utter waste
ham,sir i need axis bank account no bank address
ham,hmmm thk sure got time hop ard ya can go NUM free abt muz call u discuss liao
ham,what time you coming down later
ham,bloody hell cant believe you forgot my surname mr ill give u clue its spanish begins with m
ham,well i m gonna finish my bath now have good fine night
ham,let me know when you ve got money so carlos can make call
ham,u still going mall
ham,turns out my friends staying whole show won t be back til lt gt so feel free go ahead smoke that lt gt worth
ham,text her she doesnt reply let me know so i can have her log
ham,hi you just spoke maneesha v we d like know you were satisfied with experience reply toll free with yes no
ham,you lifted my hopes with offer money i am need especially when end month approaches it hurts my studying anyways have gr8 weekend
ham,lol no u can trust me
ham,ok i am gentleman will treat you with dignity respect
ham,he will you guys close
ham,going nothing great bye
ham,hello handsome you finding that job not being lazy working towards getting back that net mummy where s my boytoy now does he miss me
ham,haha awesome be there minute
spam,please call our customer service representative freephone PHONE between 9am 11pm as you have won guaranteed £ NUM cash £ NUM prize
ham,have you got xmas radio times not i will get it now
ham,i jus reached home i go bathe first my sis using net tell u when she finishes k
spam,you unique enough find out from 30th august URL
ham,i m sorry i ve joined league people that dont keep touch you mean great deal me you have been friend at all times even at great personal cost do have great week |
ham,hi finally i completed course
ham,it will stop itself i however suggest she stays with someone that will be able give ors every stool
ham,how you doing hope you ve settled new school year just wishin you gr8 day
ham,gud mrng dear hav nice day
ham,did u got that persons story
ham,your hamster dead hey so tmr i meet you at 1pm orchard mrt
ham,hi its kate how your evening i hope i can see you tomorrow bit i have bloody babyjontet txt back u can xxx
ham,found it enc lt gt where you at
ham,i sent you lt gt bucks
ham,hello darlin ive finished college now so txt me when u finish u can love kate xxx
ham,your account has been refilled successfully by inr lt decimal gt your keralacircle prepaid account balance rs lt decimal gt your transaction id kr lt gt
ham,goodmorning sleeping ga
ham,u call me alter at NUM ok
ham,ü say until like dat i dun buy ericsson oso cannot oredi lar
ham,as i entered my cabin my pa said happy b day boss i felt special she askd me NUM lunch after lunch she invited me her apartment we went there
ham,aight yo dats straight dogg
ham,you please give us connection today itself before lt decimal gt refund bill
ham,both i shoot big loads so get ready
ham,what s up bruv hope you had great break do have rewarding semester
ham,home so we can always chat
ham,k k good study well
ham,yup how ü noe leh
ham,sounds great you home now
ham,finally match heading towards draw as your prediction
ham,tired i haven t slept well past few nights
ham,easy ah sen got selected means its good
ham,i have take exam with march NUM
ham,yeah you should i think you can use your gt atm now register not sure there s anyway i can help let me know when you do be sure you ready
ham,ok no prob take ur time
ham,there os called ubandu which will run without installing hard disk you can use that os copy important files system give it repair shop
ham,sorry i ll call later
ham,u say leh course nothing happen lar not say v romantic jus bit only lor i thk e nite scenery not so nice leh
spam,NUM new mobiles from NUM must go txt nokia no NUM collect yours today from only £ NUM URL 2optout PHONE 50gbp mtmsg18
ham,would really appreciate you call me just need someone talk
spam,will u meet ur dream partner soon ur career off NUM flyng start NUM find out free txt horo followed by ur star sign e g horo aries
ham,hey company elama po mudyadhu
ham,life more strict than teacher bcoz teacher teaches lesson amp then conducts exam life first conducts exam amp then teaches lessons happy morning
ham,dear good morning now only i am up
ham,get down gandhipuram walk cross cut road right side lt gt street road turn at first right
ham,dear we going our rubber place
ham,sorry battery died yeah i m here
ham,yes here tv always available work place
spam,text meet someone sexy today u can find date even flirt its up u join NUM just 10p reply with name age eg sam NUM NUM msg recd thirtyeight pence
ham,i have printed it oh so lt gt come upstairs
ham,ill be little closer like at bus stop same street
ham,where you when wil you reach here
ham,new theory argument wins d situation loses person so dont argue with ur friends just kick them amp say i m always correct
spam,u PHONE have secret admirer who looking NUM make contact with u find out who they r reveal who thinks ur so special call PHONE
ham,tomarrow final hearing my laptop case so i cant
ham,pleassssssseeeeee tel me v avent done sportsx
ham,okay no no just shining that was meant be signing that sounds better
ham,although i told u dat i m into baig face watches now i really like e watch u gave cos it s fr u thanx NUM everything dat u ve done today i m touched
ham,u don t remember that old commercial
ham,too late i said i have website i didn t i have dont have slippers
ham,i asked you call him now ok
ham,kallis wont bat 2nd innings
ham,it didnt work again oh ok goodnight then i ll fix have it ready by time you wake up you very dearly missed have good night sleep
spam,congratulations ur awarded NUM cd vouchers 125gift guaranteed free entry NUM NUM wkly draw txt music NUM tncs URL
ham,ranjith cal drpd deeraj deepak 5min hold
ham,wen ur lovable bcums angry wid u dnt take it seriously coz being angry d most childish n true way showing deep affection care n luv kettoda manda have nice day da
ham,what you doing how you
ham,ups which 3days also shipping company that takes 2wks other way usps which takes week when it gets lag you may have bribe nipost get your stuff
ham,i m back lemme know when you re ready
ham,don t necessarily expect it be done before you get back though because i m just now headin out
ham,mmm so yummy babe nice jolt suzy
ham,where you lover i need you
spam,we tried contact you re your reply our offer video handset NUM anytime networks mins unlimited text camcorder reply call PHONE now
ham,i‘m parked next mini when you coming today do you think
ham,yup
ham,anyway i m going shopping my own now cos my sis not done yet dun disturb u liao
ham,my no luton PHONE ring me ur around h
spam,hey i am really horny want chat see me naked text hot NUM text charged at 150pm unsubscribe text stop NUM
ham,why you dint come with us
ham,same wana plan trip sometme then
ham,not sure yet still trying get hold him
spam,ur ringtone service has changed NUM free credits go club4mobiles com choose content now stop txt club stop NUM 150p wk club4 po box1146 mk45 2wt
ham,evo i just had download flash jealous
spam,ringtone club get uk singles chart your mobile each week choose any top quality ringtone this message free charge
ham,come mu we re sorting out our narcotics situation
ham,night has ended another day morning has come special way may you smile like sunny rays leaves your worries at blue blue bay
spam,hmv bonus special NUM pounds genuine hmv vouchers be won just answer NUM easy questions play now send hmv NUM more info URL
ham,usf i guess might as well take NUM car
ham,no objection my bf not coming
ham,thanx
ham,tell rob mack his gf theater
ham,awesome i ll see you bit
ham,just sent it so what type food do you like
ham,all done all handed celebrations full swing yet
ham,you got called tool
ham,wen u miss someone person definitely special u person so special why miss them just keep touch gdeve
ham,ok i asked money how far
ham,okie
ham,yeah i think my usual guy s still passed out from last night you get ahold anybody let me know i ll throw down
ham,k i might come by tonight then my class lets out early
ham,ok
ham,hi baby im cruisin with my girl friend what r u up NUM give me call hour at home thats alright fone me this fone now love jenny xxx
ham,my life means lot me not because i love my life because i love people my life world calls them friends i call them my world ge
ham,dear shall mail tonite busy street shall update you tonite things looking ok varunnathu edukkukayee raksha ollu good one real sense
ham,hey you told your name gautham ah
ham,haf u found him i feel so stupid da v cam was working
ham,oops NUM got that bit
ham,you this much buzy
ham,i accidentally deleted message resend please
spam,t mobile customer you may now claim your free camera phone upgrade pay go sim card your loyalty call PHONE offer ends 28thfeb t c s apply
ham,unless it s situation where you go gurl would be more appropriate
ham,hurt me tease me make me cry end my life when i die plz keep one rose my grave say stupid i miss u have nice day bslvyl
ham,i cant pick phone right now pls send message
ham,need coffee run tomo can t believe it s that time week already
ham,awesome i remember last time we got somebody high first time with diesel v
ham,shit that really shocking scary cant imagine second def up night out do u think there somewhere i could crash night save taxi
ham,oh by way you do have more food your fridge want go out meal tonight
ham,he womdarfull actor
spam,sms ac blind date 4u rodds1 NUM m from aberdeen united kingdom check him out URL sms ac w icmb3cktz8r7 NUM no blind dates send hide
ham,yup from what i remb i think should be can book
ham,jos ask u wana meet up
ham,lol yes our friendship hanging thread cause u won t buy stuff
spam,themob check out our newest selection content games tones gossip babes sport keep your mobile fit funky text wap NUM
ham,where garage keys they aren t bookshelf
ham,today accept day u accept me as brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply means enemy
spam,think ur smart win £ NUM this week our weekly quiz text play NUM now t cs winnersclub po box NUM m26 3uz NUM gbp1 NUM week
ham,he says he ll give me call when his friend s got money that he s definitely buying before end week
ham,hi way i was with u 2day normal way this real me ur unique i hope i know u NUM rest mylife hope u find wot was lost
ham,you made my day do have great day too
ham,k k advance happy pongal
ham,hmmm guess we can go NUM kb n power yoga haha dunno we can tahan power yoga anot thk got lo oso forgot liao
ham,not really dude have no friends i m afraid
spam,december only had your mobile 11mths you entitled update latest colour camera mobile free call mobile update co free PHONE
ham,coffee cake i guess
ham,merry christmas you too babe i love ya kisses
ham,hey why dont we just go watch x men have lunch haha
ham,cud u tell ppl im gona b bit l8 cos NUM buses hav gon past cos they were full im still waitin NUM NUM pete x
ham,that would be great we ll be at guild could meet bristol road somewhere will get touch over weekend our plans take flight have good week
ham,no problem how you doing
ham,no calls messages missed calls
ham,hi da how todays class
ham,i d say that s good sign well you know my track record at reading women
ham,cool text me when you re parked
ham,i m reading text i just sent you its meant be joke so read it that light
ham,k k apo k good movie
ham,maybe i could get book out tomo then return it immediately something
spam,call germany only NUM pence per minute call from fixed line via access number PHONE no prepayment direct access
ham,any chance you might have had with me evaporated as soon as you violated my privacy by stealing my phone number from your employer s paperwork not cool at all please do not contact me again i will report you your supervisor
spam,valentines day special win over £ NUM our quiz take your partner trip lifetime send go NUM now 150p msg rcvd custcare PHONE
ham,ta daaaaa i am home babe you still up
ham,cool so how come you havent been wined dined before
ham,just sleeping surfing
ham,sorry i ll call later
ham,u calling me right call my hand phone
ham,ok that s great thanx lot
ham,i take it post has come then you must have 1000s texts now happy reading my one from wiv hello caroline at end my favourite bless him
ham,where u been hiding stranger
ham,am not interested do like that
ham,my sister cleared two round birla soft yesterday
ham,gudnite tc practice going
ham,dis yijue i jus saw ur mail case huiming havent sent u my num dis my num
ham,one small prestige problem now
spam,fancy shag i do interested sextextuk com txt xxuk suzy NUM txts cost NUM NUM per msg tncs website x
ham,just checking you really do miss seeing jeremiah do have great month
ham,nah can t help you there i ve never had iphone
ham,you re not my car hour half i m going apeshit
ham,today sorry day ever i was angry with you ever i misbehaved hurt you plz plz just slap urself bcoz its ur fault i m basically good
ham,yo you guys ever figure out how much we need alcohol jay i trying figure out how much we can safely spend weed
ham,lt gt ish minutes was NUM minutes ago wtf
ham,thank you calling forgot say happy onam you sirji i am fine here remembered you when i met insurance person meet you qatar insha allah rakhesh ex tata aig who joined tissco tayseer
spam,congratulations ur awarded NUM cd vouchers 125gift guaranteed free entry NUM NUM wkly draw txt music NUM tncs URL
spam,ur cash balance currently NUM pounds maximize ur cash now send cash NUM only 150p msg cc PHONE hg suite342 2lands row w1j6hl
ham,i m actor when i work i work evening sleep late since i m unemployed at moment i always sleep late when you re unemployed every day saturday
ham,hello just got here st andrews boy its long way its cold i will keep you posted
ham,ha ha cool cool chikku chikku db
ham,oh ok no prob
ham,check audrey s status right now
ham,busy here trying finish new year i am looking forward finally meeting you
ham,good afternoon sunshine how dawns that day we refreshed happy be alive do we breathe air smile i think you my love as always
ham,well i know z will take care me so no worries
spam,update_now xmas offer latest motorola sonyericsson nokia free bluetooth double mins NUM txt orange call mobileupd8 PHONE call2optout f4q
spam,here your discount code rp176781 stop further messages reply stop URL customer services PHONE
ham,wat uniform where get
ham,cool text me when you re ready
ham,hello my boytoy geeee i miss you already i just woke up i wish you were here bed with me cuddling me i love you
ham,i will spoil you bed as well
ham,i m going bath will msg you next lt gt min
ham,i cant keep talking people am not sure i can pay them they agree price so pls tell me what you want really buy how much you willing pay
spam,thanks your ringtone order reference t91 you will be charged gbp NUM per week you can unsubscribe at anytime by calling customer services PHONE
ham,can you say what happen
ham,you could have seen me i did t recognise you face
ham,well there s not lot things happening lindsay new years sighs some bars ptbo blue heron has something going
ham,keep my payasam there rinu brings
ham,i taught that ranjith sir called me so only i sms like that becaus hes verifying about project prabu told today so only pa dont mistake me
ham,i guess that s why you re worried you must know that there s way body repairs itself i m quite sure you shouldn t worry we ll take it slow first tests they will guide when your ovulation then just relax nothing you ve said reason worry i ll keep followin you up
ham,yeah sure give me couple minutes track down my wallet
ham,hey leave it not big deal take care
ham,hey i will be late ah meet you at NUM
spam,double mins txts NUM 6months free bluetooth orange available sony nokia motorola phones call mobileupd8 PHONE call2optout n9dx
ham,it took mr owl NUM licks
ham,customer place i will call you
ham,mm that time you dont like fun
spam,4mths half price orange line rental latest camera phones NUM free had your phone 11mths call mobilesdirect free PHONE update now or2stoptxt
ham,yup having my lunch buffet now u eat already
ham,huh so late fr dinner
ham,hey so this sat we going intro pilates only kickboxing too
ham,morning only i can ok
ham,yes i think so i am office my lap room i think thats last few days i didnt shut that down
ham,pick you up bout NUM 30ish what time that going
ham,from here after performance award calculated every two month not current one month period
ham,was actually sleeping still might when u call back so text gr8 you rock sis will send u text wen i wake
ham,you always putting your business out there you put pictures your ass facebook you one most open people i ve ever met why would i think picture your room would hurt you make you feel violated
ham,good evening sir al salam wahleykkum sharing happy news by grace god i got offer from tayseer tissco i joined hope you fine inshah allah meet you sometime rakhesh visitor from india
ham,hmmm k i want change field quickly da i wanna get system administrator network administrator
spam,free ringtone text first NUM poly text get NUM true tone help PHONE after 1st free tones 3x£150pw e£nd txt stop
ham,dear how chechi did you talk her
ham,hair cream has not been shipped
ham,none that s happening til you get here though
ham,yep great loxahatchee xmas tree burning lt gt starts hour
ham,haha get used driving usf man i know lot stoners
ham,all was well until slightly disastrous class this pm with my fav darlings hope day off ok coffee wld be good as can t stay late tomorrow same time place as always
ham,hello good week fancy drink something later
ham,headin towards busetop
ham,message some text missing sender name missing number missing sent date missing missing u lot thats y everything missing sent via fullonsms com
ham,come by our room at some point so we can iron out plan this weekend
ham,cos i want it be your thing
ham,okies i ll go yan jiu too we can skip ard oso go cine den go mrt one blah blah blah
ham,bring home some wendy d
spam,NUM dating service cal l PHONE box334sk38ch
ham,whatsup there dont u want sleep
ham,alright i have new goal now
spam,free entry into our £ NUM weekly competition just text word win NUM now NUM t c URL
ham,alright i ll head out few minutes text me where meet you
spam,send logo NUM ur lover NUM names joined by heart txt love name1 name2 mobno eg love adam eve PHONE NUM yahoo pobox36504w45wq txtno NUM no ads 150p
ham,yes from last week itself i m taking live call
spam,someone has contacted our dating service entered your phone because they fancy you find out who it call from landline PHONE pobox12n146tf150p
ham,siva hostel aha
spam,urgent your mobile number has been awarded with £ NUM prize guaranteed call PHONE from land line claim NUM valid 12hrs only
ham,send this ur friends receive something about ur voice how my speaking expression NUM childish NUM naughty NUM sentiment NUM rowdy NUM ful attitude NUM romantic NUM shy NUM attractive NUM funny lt gt irritating lt gt lovable reply me
ham,ok she ll be ok i guess
ham,aathi where you dear
ham,any pain urination any thing else
ham,NUM at esplanade do ü mind giving me lift cos i got no car today
ham,i wnt buy bmw car urgently its vry urgent hv shortage lt gt lacs there no source arng dis amt lt gt lacs thats my prob
ham,at home watching tv lor
ham,does she usually take fifteen fucking minutes respond yes no question
spam,congrats nokia NUM video camera phone your call PHONE calls cost 150ppm ave call 3mins vary from mobiles NUM close NUM post bcm4284 ldn wc1n3xx
ham,booked ticket pongal
ham,you available now i m like right around hillsborough amp lt gt th
ham,message sent askin lt gt dollars shoul i pay lt gt lt gt
ham,ask g iouri i ve told story like ten times already
ham,how long does applebees fucking take
ham,hi hope u get this txt journey hasnt been gd now about NUM mins late i think
ham,i have i like have love arrange
ham,yes he really great bhaji told kallis best cricketer after sachin world very tough get out
ham,you were supposed wake me up gt
ham,oic i saw him too i tot he din c me i found group liao
ham,sorry i ll call later
ham,hey hey werethe monkeespeople say we monkeyaround howdy gorgeous howu doin foundurself jobyet sausage love jen xxx
ham,sorry my battery died i can come by i m only getting gram now where s your place
ham,well done blimey exercise yeah i kinda remember wot that hmm
ham,i wont get concentration dear you know you my mind everything
ham,lol have you made plans new years
ham,NUM min later k
ham,hanks lotsly
ham,thanks this hope you had good day today
ham,k k what detail you want transfer acc no enough
ham,ok i will tell her stay out yeah its been tough we optimistic things will improve this month
spam,loan any purpose £ NUM £ NUM NUM homeowners tenants welcome have you been previously refused we can still help call free PHONE text back help
ham,si si i think ill go make those oreo truffles
ham,look at amy ure beautiful intelligent woman i like u lot i know u don t like me like that so don t worry
ham,i hope you that s result being consistently intelligent kind start asking him about practicum links keep your ears open all best ttyl
ham,NUM NUM that call cost which i guess isnt bad miss ya need ya want ya love ya
ham,going thru very different feeling wavering decisions coping up with same same individual time will heal everything i believe
ham,where did u go my phone gonna die you have stay here
ham,great never been better each day gives even more reasons thank god
spam,upgrdcentre orange customer you may now claim your free camera phone upgrade your loyalty call now PHONE offer ends 26th july t c s apply opt out available
ham,sorry i ll call later ok bye
ham,ok i am way railway
ham,great princess i love giving receiving oral doggy style my fave position how about you i enjoy making love lt gt times per night
ham,they don t put that stuff roads keep it from getting slippery over there
ham,when you going ride your bike
ham,yup no need i ll jus wait NUM e rain NUM stop
ham,there many company tell me language
spam,okmail dear dave this your final notice collect your NUM tenerife holiday NUM cash award call PHONE from landline tcs sae box326 cw25wx 150ppm
ham,how long has it been since you screamed princess
ham,nothing i meant that once money enters your account here bank will remove its flat rate someone transfered lt gt my account lt gt dollars got removed so banks differ charges also differ be sure you trust 9ja person you sending account details cos
spam,want NUM get laid tonight want real dogging locations sent direct NUM ur mob join uk s largest dogging network by txting moan 69888nyt ec2a 31p msg 150p
ham,nice line said by broken heart plz don t cum NUM more times infront me other wise once again i ll trust u good 9t
ham,ok i m gonna head up usf like fifteen minutes
ham,love you aathi love u lot
ham,tension ah what machi any problem
ham,k can i pick up another 8th when you re done
ham,when re you guys getting back g said you were thinking about not staying mcr
ham,almost there see u sec
ham,yo carlos few friends already asking me about you you working at all this weekend
ham,watching tv lor
ham,thank you baby i cant wait taste real thing
ham,you should change your fb jaykwon thuglyfe falconerf
ham,we win its really no NUM side long time
spam,free message activate your NUM free text messages by replying this message with word free terms conditions visit URL
ham,dear reached railway what happen you
ham,depends quality you want type i sent boye faded glory then about NUM you want ralphs maybe NUM
ham,i think i ve fixed it can you send test message
